"id","scientificName","sourceName","fos","ter","aqu","arb","diet_leaves","diet_flowers","diet_seed","diet_fruit","diet_inv","diet_vert","diurnal","nocturnal","crepuscular","wet_warm","wet_cold","dry_warm","dry_cold","bodymass_value","age_at_maturity_min_y","age_at_maturity_max_y","body_size_mm","size_at_maturity_min_mm","size_at_maturity_max_mm","longevity_max_y","litter_size_min_n","litter_size_max_n","reproductive_output_y","offspring_size_min_mm","offspring_size_max_mm","dir","lar","viv"
"ITIS:774204","Eleutherodactylus tychathrous","Eleutherodactylus tychathrous",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,57.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:173572","Eleutherodactylus unicolor","Eleutherodactylus unicolor",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207699","Eleutherodactylus varians","Eleutherodactylus varians",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207701","Eleutherodactylus varleyi","Eleutherodactylus varleyi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,4,4,1,3.5,4,1,0,0
"ITIS:207703","Eleutherodactylus ventrilineatus","Eleutherodactylus ventrilineatus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:550355","Eleutherodactylus verrucipes","Eleutherodactylus verrucipes",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:550356","Eleutherodactylus verruculatus","Eleutherodactylus verruculatus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"ITIS:663755","Eleutherodactylus warreni","Eleutherodactylus warreni",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207713","Eleutherodactylus weinlandi","Eleutherodactylus weinlandi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207715","Eleutherodactylus wetmorei","Eleutherodactylus wetmorei",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:173573","Eleutherodactylus wightmanae","Eleutherodactylus wightmanae",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,4,30,1,3.5,4.3,1,0,0
"ITIS:207721","Eleutherodactylus zeus","Eleutherodactylus zeus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207722","Eleutherodactylus zugi","Eleutherodactylus zugi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663339","Adelophryne adiastola","Adelophryne adiastola",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663340","Adelophryne baturitensis","Adelophryne baturitensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,16.3,NA,NA,NA,2,5,1,2,2,1,0,0
"ITIS:663341","Adelophryne gutturosa","Adelophryne gutturosa",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1,1,1,4.6,4.6,1,0,0
"ITIS:663342","Adelophryne maranguapensis","Adelophryne maranguapensis",NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,3,8,1,4.4,6,1,0,0
"ITIS:663343","Adelophryne pachydactyla","Adelophryne pachydactyla",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"ITIS:774205","Adelophryne patamona","Adelophryne patamona",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:663803","Phyzelaphryne miriamae","Phyzelaphryne miriamae",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:774206","Hadromophryne natalensis","Hadromophryne natalensis",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,65,NA,NA,NA,50,200,NA,NA,NA,NA,NA,NA
