"id","sourceName","scientificName","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","nocturnal","bodymass_value"
"ITIS:561674","Onychognathus tenuirostris","Onychognathus tenuirostris",20,0,0,0,0,0,60,20,0,0,"FruiNect",0,0,40,20,20,20,0,0,0,118
"ITIS:561667","Onychognathus albirostris","Onychognathus albirostris",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,137.29
"ITIS:561673","Onychognathus salvadorii","Onychognathus salvadorii",0,0,0,0,0,0,80,0,20,0,"FruiNect",0,0,0,33,33,33,0,0,0,160
"ITIS:915892","Coccycolius iris","Coccycolius iris",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,50,10,40,0,0,0,0,69
"ITIS:915891","Lamprotornis cupreocauda","Lamprotornis cupreocauda",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,0,0,100,0,0,0,0,58.01
"ITIS:915890","Lamprotornis purpureiceps","Lamprotornis purpureiceps",30,0,0,0,0,0,70,0,0,0,"FruiNect",0,0,100,0,0,0,0,0,0,62.84
"ITIS:915889","Lamprotornis corruscus","Lamprotornis corruscus",30,0,10,0,0,0,50,10,0,0,"FruiNect",0,0,40,20,40,0,0,0,0,56.07
"ITIS:560686","Lamprotornis purpureus","Lamprotornis purpureus",30,0,0,0,0,0,40,30,0,0,"FruiNect",0,0,50,50,0,0,0,0,0,112.87
"ITIS:560682","Lamprotornis nitens","Lamprotornis nitens",40,0,0,0,0,10,40,10,0,0,"Omnivore",0,0,100,0,0,0,0,0,0,85.59
"ITIS:560674","Lamprotornis chalcurus","Lamprotornis chalcurus",40,0,0,0,0,10,50,0,0,0,"Omnivore",0,0,50,50,0,0,0,0,0,63
"ITIS:560675","Lamprotornis chalybaeus","Lamprotornis chalybaeus",20,10,10,0,0,10,30,10,10,0,"Omnivore",0,0,100,0,0,0,0,0,0,86.17
"ITIS:560676","Lamprotornis chloropterus","Lamprotornis chloropterus",30,0,0,0,0,0,40,30,0,0,"FruiNect",0,0,50,50,0,0,0,0,0,73.1
"ITIS:560671","Lamprotornis acuticaudus","Lamprotornis acuticaudus",30,0,0,0,0,0,70,0,0,0,"FruiNect",0,0,0,0,80,20,0,0,0,67.6
"ITIS:560689","Lamprotornis splendidus","Lamprotornis splendidus",30,0,10,0,0,0,60,0,0,0,"FruiNect",0,0,50,50,0,0,0,0,0,123.09
